Equity name,Ann Date,Prev Ann Date,Next Ann Date,EPS,Surprise,PE,PE Change,Up Down Flag,Beat Miss Flag,Sector,Quarter,Surprise 8,Surprise 7,Surprise 6,Surprise 5,Surprise 4,Surprise 3,Surprise 2,Surprise 1
AVB US Equity,2020-05-06,2020-02-05,2020-07-29,1.085,-0.0823,33.3,-0.29179072735006395,1,0,5,0.0,2022-04-27,2022-02-02,2021-10-27,2021-07-28,2021-04-28,2021-02-03,2020-10-28,2020-07-29
MO US Equity,2024-02-01,2023-10-26,2024-04-25,1.18,0.0137,7.93,-0.04227053140096615,1,1,3,3.0,2026-01-30,2025-10-31,2025-07-30,2025-04-29,2025-01-30,2024-10-31,2024-07-31,2024-04-25
ROST US Equity,2022-05-19,2022-03-01,2022-08-18,0.97,-0.0339,22.22,0.1049229239184486,0,0,2,1.0,2024-05-23,2024-03-05,2023-11-16,2023-08-17,2023-05-18,2023-02-28,2022-11-17,2022-08-18
GL US Equity,2020-04-22,2020-02-04,2020-07-22,1.73,0.013500000000000002,11.3,-0.27749360613810736,1,1,5,0.0,2022-04-20,2022-02-02,2021-10-20,2021-07-21,2021-04-21,2021-02-02,2020-10-21,2020-07-22
HRL US Equity,2023-11-29,2023-08-31,2024-02-29,0.42,-0.047599999999999996,21.56,-0.17204301075268824,0,0,3,3.0,2025-12-04,2025-09-04,2025-05-29,2025-02-27,2024-12-04,2024-09-04,2024-05-30,2024-02-29
EBAY US Equity,2022-11-02,2022-08-03,2023-02-22,1.0,0.0787,11.54,0.0026064291920069316,1,1,1,2.0,2024-10-30,2024-07-31,2024-05-01,2024-02-27,2023-11-07,2023-07-26,2023-04-26,2023-02-22
YUM US Equity,2022-05-04,2022-02-09,2022-08-03,1.05,-0.026000000000000002,25.82,-0.1464462809917355,1,0,2,0.0,2024-05-01,2024-02-07,2023-11-01,2023-08-02,2023-05-03,2023-02-27,2022-11-08,2022-08-03
CDW US Equity,2020-05-06,2020-02-06,2020-08-05,1.38,0.0431,17.6,-0.3691756272401433,0,1,1,0.0,2022-05-04,2022-02-09,2021-11-03,2021-08-04,2021-05-05,2021-02-10,2020-11-02,2020-08-05
V US Equity,2024-01-25,2023-10-24,2024-04-23,2.41,0.0282,29.12,0.10136157337367613,0,1,5,3.0,2026-01-30,2025-10-29,2025-07-29,2025-04-29,2025-01-30,2024-10-29,2024-07-23,2024-04-23
NEE US Equity,2020-07-24,2020-04-22,2020-10-21,0.653,0.0407,27.42,-0.029036827195467296,0,1,8,1.0,2022-07-22,2022-04-21,2022-01-25,2021-10-20,2021-07-23,2021-04-21,2021-01-26,2020-10-21
